familia,H,K
PF01096,5.137342039798406,0.5418250950570342
PF01118,4.554675588726898,0.531025538707103
PF01138,4.817318224391683,0.5726155191681648
PF01142,4.937749284104151,0.55515034976627
PF01156,4.594247601395176,0.5447812951839095
PF01163,4.865117455662447,0.5926218188991912
PF01168,4.384882070812124,0.5369974275226176
PF01172,4.854764982050006,0.5081537183578893
PF01174,4.699438460488453,0.6317135549872123
PF01202,4.745738607878572,0.5780805946221672
PF01205,4.593701278551235,0.4605690924313099
PF01217,4.502371369155357,0.6167487684729064
PF01226,4.05122377710354,0.4905458685028876
PF01239,4.46787694885737,0.267450468103636
PF01253,4.89286087381863,0.5306570800878769
PF01263,4.803081941875631,0.6078008724659995
PF01274,4.869303262201572,0.6053333333333333
PF01284,4.149657922858763,0.5539525858432465
PF01336,4.817517122063664,0.5684441263308581
PF01344,4.736475733409924,0.28544614496101645
PF01348,4.8248946186168755,0.6762342135476463
PF01381,4.674202216546592,0.6057427421063785
PF01417,4.760344595230557,0.5526246023329798
PF01422,3.9848957695871334,0.4159931943853679
PF01423,4.727471004759532,0.572654967807095
PF01426,4.9406751924367756,0.5156701489219827
PF01434,4.593342420168636,0.5713776510425949
PF01465,4.393000391605617,0.5157790927021696
PF01479,4.91729857241831,0.5940293472761006
PF01485,4.771565395172121,0.5938098888463013
PF01488,4.594194612729723,0.5618239660657476
PF01502,4.821574356934426,0.41202587592414014
PF01529,4.434396013234547,0.5925039042165539
PF01535,4.333619553780851,0.14112024738210696
PF01544,4.5059282888227505,0.6140168005395794
PF01569,4.341102684901278,0.5992424242424242
PF01575,4.764312474041686,0.5998843596415149
PF01585,4.862590077059585,0.6068872987477638
PF01595,4.306808768308096,0.5900892909940275
PF01612,4.448666306585921,0.6
PF01633,4.807711967526591,0.5959836961924645
PF01644,4.635733352781307,0.43976902406952145
PF01687,4.705078595424767,0.5156305725049768
PF01693,4.7322866554846925,0.4555741190765492
PF01699,3.948386863773784,0.40163197565866815
PF01722,4.66406703420446,0.48755153568346704
PF01729,4.665229135542175,0.5924229808492922
PF01746,4.7133535881611595,0.6090056285178237
PF01764,4.596118170428293,0.5743325653882639
PF01779,4.441901690397892,0.4266379575515226
PF01781,4.817205362450604,0.45969531134447567
PF01794,4.11056428622871,0.5686350328674805
PF01851,4.076495967900596,0.2390937575319354
PF01853,4.684013742288691,0.42997767404099857
PF01873,4.978265646486101,0.5122047244094489
PF01883,4.648789202672825,0.6052356020942409
PF01910,4.9089953356087985,0.5646031338299512
PF01966,4.538632411714355,0.5799661399548532
PF01968,4.4482962848534955,0.542067716000453
PF01975,4.781755985594199,0.4947880191779346
PF02020,4.609342362929286,0.499701098071296
PF02037,4.595834101238206,0.5753690753690753
PF02046,5.018415803011671,0.4523357387011014
PF02133,4.176535126109765,0.5574280104712042
PF02137,4.930790539293497,0.5061595988289516
